asq,s1sq,s2sq,s3sq,s4sq,s5sq,s6sq,ac,s1c,s2c,s3c,s4c,s5c,s6c,at,s1t,s2t,s3t,s4t,s5t,s6t,am,s1m,s2m,s3m,s4m,s5m,s6m,s1p,s2p,s3p,s4p,s5p,s6p,no
164,128,146,141,146,156,156,10,10,10,10,10,10,10,39,14,13,10,13,28,48,13525,247,476,1889,3671,18100,36135,0.780487804878049,0.890243902439024,0.859756097560976,0.890243902439024,0.951219512195122,0.951219512195122,1
263,181,221,223,238,238,238,20,12,20,20,20,20,20,12,6,5,7,11,40,81,13624,456,790,3419,6616,32468,64883,0.688212927756654,0.840304182509506,0.847908745247148,0.904942965779468,0.904942965779468,0.904942965779468,2
440,259,332,397,388,401,401,50,50,50,50,50,50,50,33,4,5,10,14,60,113,13801,967,1659,7126,13691,67552,134760,0.588636363636364,0.754545454545455,0.902272727272727,0.881818181818182,0.911363636363636,0.911363636363636,3
618,518,495,529,572,572,561,100,100,100,100,100,100,100,38,2,4,8,19,67,145,13979,1783,2893,12235,23721,116409,232388,0.838187702265372,0.800970873786408,0.855987055016181,0.925566343042071,0.925566343042071,0.907766990291262,4
850,516,740,776,792,790,792,200,200,200,200,200,200,200,82,3,4,11,19,129,281,14211,2833,5028,21039,40903,200171,399717,0.607058823529412,0.870588235294118,0.912941176470588,0.931764705882353,0.929411764705882,0.931764705882353,5
570,543,543,527,543,555,555,10,10,10,10,10,10,10,4,1,1,2,3,10,18,11069,1073,1714,7062,13839,68117,135964,0.952631578947368,0.952631578947368,0.924561403508772,0.952631578947368,0.973684210526316,0.973684210526316,6
833,512,743,773,760,773,773,20,20,20,20,20,20,20,7,1,1,3,5,18,33,11332,1633,2950,12521,24583,120089,239723,0.614645858343337,0.891956782713085,0.92797118847539,0.912364945978391,0.92797118847539,0.92797118847539,7
1076,838,830,949,965,965,966,50,35,31,50,50,50,50,12,2,1,5,8,39,81,11575,3146,5388,22689,44282,217457,434176,0.778810408921933,0.771375464684015,0.881970260223048,0.896840148698885,0.896840148698885,0.897769516728625,8
1106,1078,1030,1078,1086,1086,1086,100,100,75,100,100,100,100,23,2,3,7,14,73,154,11605,4282,7322,30245,59677,292004,583083,0.974683544303797,0.93128390596745,0.974683544303797,0.981916817359855,0.981916817359855,0.981916817359855,9
1106,1106,1106,1106,1106,1106,1106,200,200,132,200,200,200,200,45,2,4,12,22,150,367,11605,5565,9455,39098,77365,377452,752916,1,1,1,1,1,1,10
47,32,44,45,47,47,47,10,10,10,10,10,10,10,115,17,20,43,47,183,347,224045,85,155,614,1192,5766,11525,0.680851063829787,0.936170212765958,0.957446808510638,1,1,1,11
87,64,65,86,84,87,87,20,20,20,20,20,20,20,145,24,25,39,65,274,471,224085,183,303,1256,2394,11766,23476,0.735632183908046,0.747126436781609,0.988505747126437,0.96551724137931,1,1,12
190,128,146,168,178,181,182,50,50,50,50,48,50,50,339,17,26,57,129,401,729,224188,436,734,3233,6254,30534,60968,0.673684210526316,0.768421052631579,0.884210526315789,0.936842105263158,0.952631578947368,0.957894736842105,13
242,236,219,240,240,240,240,100,90,100,97,97,98,98,667,25,39,79,130,628,1283,224240,718,1328,5470,10593,51615,102980,0.975206611570248,0.90495867768595,0.991735537190083,0.991735537190083,0.991735537190083,0.991735537190083,14
242,242,237,242,242,242,242,200,172,116,177,177,200,200,1316,32,40,116,208,1296,2317,224240,999,1805,7563,14837,72488,144460,1,0.979338842975207,1,1,1,1,15
275,263,240,272,275,275,275,10,10,10,10,10,10,10,2,1,1,2,3,12,26,8537,744,1051,4931,9738,47120,94110,0.956363636363636,0.872727272727273,0.989090909090909,1,1,1,16
335,276,275,297,314,313,314,20,20,13,20,20,20,20,3,1,2,3,4,19,39,8597,973,1548,6499,12828,62801,125366,0.823880597014925,0.82089552238806,0.886567164179105,0.937313432835821,0.934328358208955,0.937313432835821,17
400,282,335,362,355,362,362,50,22,50,50,46,50,50,9,1,2,4,6,33,69,8662,1316,2158,9500,18704,91225,181974,0.705,0.8375,0.905,0.8875,0.905,0.905,18
423,358,358,407,401,409,409,100,53,54,100,100,100,100,17,1,2,6,9,49,105,8685,1848,3062,13070,25880,126612,252476,0.846335697399527,0.846335697399527,0.962174940898345,0.947990543735225,0.966903073286052,0.966903073286052,19
423,401,423,423,423,423,423,200,96,200,200,200,200,200,33,2,3,9,16,82,203,8685,2455,4207,17395,34335,167773,334853,0.947990543735225,1,1,1,1,1,20
263,256,224,252,258,262,262,10,10,10,10,10,10,10,236,30,26,45,42,95,171,644314,936,1414,5521,10700,52574,104781,0.973384030418251,0.85171102661597,0.958174904942966,0.980988593155894,0.996197718631179,0.996197718631179,21
509,337,493,479,490,500,501,20,13,20,20,20,20,20,473,32,32,64,77,227,486,644560,1602,2582,10411,20250,99882,199028,0.662082514734774,0.968565815324165,0.94106090373281,0.962671905697446,0.982318271119843,0.984282907662083,22
1093,967,812,932,993,1023,1006,50,47,36,50,49,50,50,1269,42,68,113,188,688,1498,645144,2820,4272,18037,35034,172280,343291,0.884720951509607,0.742909423604758,0.852698993595608,0.908508691674291,0.935956084172004,0.920402561756633,23
1560,1024,1181,1364,1378,1403,1411,100,100,69,100,96,96,100,2658,62,63,174,301,1392,2837,645611,3850,6316,27198,52732,259595,517413,0.656410256410256,0.757051282051282,0.874358974358974,0.883333333333333,0.899358974358974,0.90448717948718,24
1914,1582,1663,1696,1709,1725,1725,200,145,200,182,196,193,194,5294,76,88,259,459,2287,5742,645965,5494,8943,38770,75204,369056,736037,0.826541274817137,0.868861024033438,0.886102403343783,0.892894461859979,0.901253918495298,0.901253918495298,25
255,133,162,204,204,206,208,10,5,7,10,10,10,10,1,1,0,1,2,5,10,4856,363,624,2810,5515,27269,54256,0.52156862745098,0.635294117647059,0.8,0.8,0.807843137254902,0.815686274509804,26
370,256,262,297,299,298,300,20,20,15,20,20,20,20,2,0,1,2,2,8,17,4971,640,1054,4624,9040,44273,88299,0.691891891891892,0.708108108108108,0.802702702702703,0.808108108108108,0.805405405405405,0.810810810810811,27
512,324,342,398,400,409,414,50,29,50,50,50,50,50,5,0,1,2,4,17,33,5113,1136,1972,8232,16184,79470,158625,0.6328125,0.66796875,0.77734375,0.78125,0.798828125,0.80859375,28
565,512,493,492,512,517,515,100,100,100,87,100,100,100,9,1,1,4,6,29,77,5166,1902,3138,13357,25892,127283,253764,0.906194690265487,0.872566371681416,0.870796460176991,0.906194690265487,0.915044247787611,0.911504424778761,29
565,517,519,564,565,565,565,200,200,200,175,198,198,200,17,1,2,6,11,54,151,5166,2650,4571,19443,37814,186086,370624,0.915044247787611,0.91858407079646,0.998230088495575,1,1,1,30
1186,1027,1109,1055,1125,1125,1125,10,10,10,8,9,9,9,558,122,151,380,657,2583,4988,1249852,2694,4993,20982,41003,199449,398736,0.865935919055649,0.935075885328837,0.889544688026982,0.948566610455312,0.948566610455312,0.948566610455312,31
1320,1042,1137,1158,1174,1181,1181,20,9,12,17,20,19,19,1046,138,170,535,896,3728,7886,1249986,3731,7021,28875,56346,277143,552647,0.789393939393939,0.861363636363636,0.877272727272727,0.889393939393939,0.89469696969697,0.89469696969697,32
1477,1173,1207,1258,1244,1255,1258,50,21,27,50,42,50,50,2903,185,221,691,1240,5502,15760,1250143,5699,9661,40671,79173,387014,771824,0.794177386594448,0.81719702098849,0.851726472579553,0.842247799593771,0.849695328368314,0.851726472579553,33
1494,1316,1355,1373,1394,1395,1395,100,46,62,100,87,88,88,5701,200,254,831,1519,7352,26418,1250160,7054,11870,50336,98283,481529,960808,0.880856760374833,0.906961178045515,0.9190093708166,0.933065595716198,0.933734939759036,0.933734939759036,34
1494,1430,1449,1451,1459,1460,1460,200,101,131,160,165,155,155,11140,220,292,990,1842,10216,39642,1250160,8477,14478,60971,119223,584537,1165809,0.957161981258367,0.969879518072289,0.971218206157965,0.976572958500669,0.977242302543507,0.977242302543507,35
422,323,353,383,386,393,396,10,4,5,9,10,10,10,5,1,1,3,6,25,52,12907,1174,1778,7767,15123,74562,148824,0.765402843601896,0.836492890995261,0.907582938388626,0.914691943127962,0.931279620853081,0.938388625592417,36
490,369,388,444,445,444,449,20,11,13,20,20,20,20,7,2,2,4,8,37,83,12975,1520,2380,10230,20235,98742,196807,0.753061224489796,0.791836734693878,0.906122448979592,0.908163265306123,0.906122448979592,0.916326530612245,37
562,521,499,503,521,521,523,50,50,50,40,50,50,50,14,2,2,7,11,57,114,13047,2147,3455,14870,29028,142858,284870,0.927046263345196,0.887900355871886,0.895017793594306,0.927046263345196,0.927046263345196,0.930604982206406,38
580,565,531,563,565,565,565,100,100,100,100,100,100,100,27,2,3,8,15,77,191,13065,2832,4629,19537,38476,188200,375691,0.974137931034483,0.91551724137931,0.970689655172414,0.974137931034483,0.974137931034483,0.974137931034483,39
580,580,580,580,580,580,580,200,200,200,200,200,200,200,51,2,4,12,23,121,283,13065,3488,5684,23659,46828,229730,458107,1,1,1,1,1,1,40
1378,1029,1109,1246,1294,1339,1339,10,10,10,10,10,10,10,20,10,6,9,11,37,71,52228,2173,3487,15525,30260,147697,294010,0.746734397677794,0.804789550072569,0.904208998548621,0.939042089985486,0.971698113207547,0.971698113207547,41
2351,2063,1674,2202,2207,2202,2226,20,20,20,20,20,20,20,27,4,4,10,14,53,133,53201,4428,6314,28143,54637,267067,532659,0.877498936622714,0.712037430880476,0.936622713738835,0.938749468311357,0.936622713738835,0.946831135686942,42
4397,4134,3745,3903,4018,4151,4176,50,50,50,50,46,50,50,54,5,5,15,23,93,258,55247,9168,14021,60145,117397,576504,1150054,0.940186490789175,0.851717079827155,0.887650670911986,0.913804866954742,0.944052763247669,0.949738458039573,43
6796,4218,5651,5937,6152,6201,6201,100,100,100,88,100,100,99,107,5,8,19,33,200,519,57646,13630,24055,103617,201425,989885,1973882,0.620659211300765,0.831518540317834,0.873602118893467,0.905238375515009,0.912448499117128,0.912448499117128,44
10106,8349,8452,8431,8672,8956,8995,200,200,200,200,200,200,200,230,6,10,49,64,398,1034,60956,24191,39805,170590,332891,1632676,3253989,0.826142885414605,0.836334850583812,0.834256877102711,0.858104096576291,0.88620621413022,0.890065307737977,45
44,32,44,41,43,44,44,10,10,10,10,10,10,10,154,76,34,69,78,424,647,352762,112,193,720,1411,6876,13744,0.727272727272727,1,0.931818181818182,0.977272727272727,1,1,46
84,64,65,79,80,83,83,20,20,20,20,20,20,20,473,25,54,62,93,541,797,352802,264,409,1666,3280,15919,31790,0.761904761904762,0.773809523809524,0.940476190476191,0.952380952380952,0.988095238095238,0.988095238095238,47
188,128,146,176,184,183,184,50,50,50,47,50,50,50,1039,25,53,93,142,601,1565,352906,544,887,3902,7525,36513,72829,0.680851063829787,0.776595744680851,0.936170212765958,0.978723404255319,0.973404255319149,0.978723404255319,48
306,256,224,270,271,283,282,100,100,65,100,100,100,100,970,41,46,120,211,871,2516,353024,800,1457,6005,11659,56763,113237,0.836601307189543,0.73202614379085,0.882352941176471,0.88562091503268,0.92483660130719,0.92156862745098,49
327,256,327,327,327,327,327,200,200,198,200,198,198,199,1954,52,62,150,274,1931,4378,353045,1118,2066,8592,16805,82152,163967,0.782874617737003,1,1,1,1,1,50
431,256,347,407,425,425,425,10,10,10,10,10,10,10,38,7,9,22,27,115,216,88889,575,1117,4884,9655,46905,93700,0.593967517401392,0.805104408352668,0.94431554524362,0.986078886310905,0.986078886310905,0.986078886310905,51
697,522,494,636,626,641,654,20,20,20,20,18,20,20,57,8,11,22,37,166,298,89155,1140,1971,8565,16742,82109,163785,0.748923959827834,0.708751793400287,0.912482065997131,0.898134863701578,0.919655667144907,0.938307030129125,52
1272,1025,1109,1127,1118,1164,1163,50,50,50,50,50,50,50,144,9,12,30,48,255,466,89730,2432,4231,17576,34322,168055,335331,0.805817610062893,0.87185534591195,0.886006289308176,0.878930817610063,0.915094339622642,0.914308176100629,53
1981,1032,1664,1816,1816,1821,1821,100,36,100,100,100,100,100,287,10,14,45,59,300,745,90439,3929,7256,30858,60314,294666,587688,0.520949015648662,0.839979808177688,0.91670873296315,0.91670873296315,0.919232710752145,0.919232710752145,54
3119,2055,2495,2662,2822,2851,2866,200,200,200,200,200,200,200,568,28,15,60,73,416,961,91577,7404,13175,55893,109817,537969,1073663,0.658865020840013,0.799935876883617,0.853478679063803,0.904777172170568,0.914075024046169,0.918884257774928,55
169,130,146,155,165,166,166,10,10,10,10,10,10,10,1227,259,165,290,440,1962,3974,1610562,254,438,1890,3645,18072,36021,0.769230769230769,0.863905325443787,0.91715976331361,0.976331360946746,0.982248520710059,0.982248520710059,56
300,256,219,270,285,290,290,20,20,20,20,20,20,20,2376,250,205,368,604,3087,6307,1610693,542,868,3735,7198,35423,70594,0.853333333333333,0.73,0.9,0.95,0.966666666666667,0.966666666666667,57
624,512,493,580,591,598,600,50,50,50,50,50,50,50,5202,235,214,513,779,3317,6095,1611017,1254,2040,9049,17560,86172,171781,0.820512820512821,0.790064102564103,0.92948717948718,0.947115384615385,0.958333333333333,0.961538461538462,58
1049,814,739,932,1011,1013,1011,100,73,100,100,100,100,100,8739,257,288,609,968,3963,11242,1611442,2459,3978,17214,33565,164682,328294,0.775977121067684,0.704480457578646,0.888465204957102,0.963775023832221,0.965681601525262,0.963775023832221,59
1735,1024,1422,1650,1646,1647,1647,200,200,159,200,200,200,200,15246,242,316,765,1443,7120,9709,1612128,4291,7839,33219,64258,314833,627651,0.590201729106628,0.819596541786744,0.951008645533141,0.948703170028818,0.949279538904899,0.949279538904899,60
241,131,223,223,234,234,234,10,10,10,10,10,10,10,135,17,20,39,56,244,486,208094,277,700,2656,5205,25421,50757,0.54356846473029,0.925311203319502,0.925311203319502,0.970954356846473,0.970954356846473,0.970954356846473,61
436,262,329,397,420,430,433,20,20,20,20,20,20,20,178,18,27,68,74,348,663,208289,513,1151,5013,9715,47906,95706,0.600917431192661,0.754587155963303,0.910550458715596,0.963302752293578,0.986238532110092,0.993119266055046,62
857,518,739,775,792,821,826,50,50,50,50,50,50,50,421,25,31,70,131,713,1073,208710,1481,2659,10872,21193,103697,206724,0.604434072345391,0.862310385064177,0.904317386231039,0.924154025670945,0.957992998833139,0.963827304550759,63
1291,1030,1109,1127,1171,1210,1215,100,100,100,100,100,100,100,837,27,35,89,155,770,1890,209144,2595,4385,17995,35200,172304,343971,0.797831138652208,0.859024012393494,0.872966692486445,0.907048799380325,0.93725793958172,0.941130906274206,64
1799,1156,1663,1650,1649,1680,1681,200,94,200,200,200,200,200,1707,46,44,138,228,1396,3450,209652,4009,7031,29349,57330,280612,559481,0.642579210672596,0.924402445803224,0.917176209005003,0.916620344635909,0.933852140077821,0.934408004446915,65
100,64,82,95,93,99,99,10,10,8,10,10,10,10,212,65,41,84,132,697,1268,346637,156,292,1205,2328,11486,22900,0.64,0.82,0.95,0.93,0.99,0.99,66
177,128,146,168,167,169,169,20,20,20,20,20,20,20,501,54,52,102,165,829,1336,346714,330,566,2402,4610,22666,45215,0.72316384180791,0.824858757062147,0.949152542372881,0.943502824858757,0.954802259887006,0.954802259887006,67
375,256,329,359,363,363,362,50,50,50,50,50,50,50,1384,40,61,130,212,863,2122,346912,787,1386,5822,11248,55155,109982,0.682666666666667,0.877333333333333,0.957333333333333,0.968,0.968,0.965333333333333,68
670,512,493,636,621,640,642,100,100,100,100,100,100,100,1732,72,65,137,289,1285,2408,347207,1673,2633,11708,22597,110976,221488,0.764179104477612,0.735820895522388,0.949253731343284,0.926865671641791,0.955223880597015,0.958208955223881,69
1170,1024,1109,1025,1114,1118,1122,200,200,200,200,200,200,200,3135,58,73,162,357,2177,4571,347707,3597,5845,23939,46231,227199,453359,0.875213675213675,0.947863247863248,0.876068376068376,0.952136752136752,0.955555555555556,0.958974358974359,70
124,72,100,104,114,114,114,10,5,10,10,10,10,10,8,3,2,3,7,29,60,12563,205,399,1543,3056,15023,30005,0.580645161290323,0.806451612903226,0.838709677419355,0.919354838709677,0.919354838709677,0.919354838709677,71
192,129,146,168,167,171,173,20,20,20,20,20,20,20,9,2,2,5,9,39,77,12631,349,624,2650,5128,25244,50369,0.671875,0.760416666666667,0.875,0.869791666666667,0.890625,0.901041666666667,72
303,256,220,272,271,272,272,50,50,50,50,50,50,50,18,2,2,7,12,58,128,12742,676,1129,4793,9364,46037,91819,0.844884488448845,0.726072607260726,0.897689768976898,0.894389438943894,0.897689768976898,0.897689768976898,73
414,258,333,359,346,360,360,100,100,100,100,100,100,100,38,2,3,10,17,101,195,12853,1000,1751,7351,14362,70666,140985,0.623188405797101,0.804347826086957,0.867149758454106,0.835748792270531,0.869565217391304,0.869565217391304,74
533,422,444,463,463,469,469,200,125,145,168,200,177,200,72,2,4,13,31,152,291,12972,1523,2625,11073,21581,105886,211257,0.791744840525328,0.833020637898687,0.868667917448405,0.868667917448405,0.879924953095685,0.879924953095685,75
60,55,55,60,60,60,60,10,10,10,10,10,10,10,2,0,0,1,0,3,4,5172,205,360,1675,3245,15750,31385,0.916666666666667,0.916666666666667,1,1,1,1,76
120,109,109,120,120,120,120,20,20,20,20,20,20,20,3,0,0,1,1,10,7,5232,510,916,3987,7771,37812,75534,0.908333333333333,0.908333333333333,1,1,1,1,77
300,272,268,300,300,300,300,50,50,50,50,50,50,50,6,0,1,1,2,18,23,5412,1780,2778,12443,24117,117156,234101,0.906666666666667,0.893333333333333,1,1,1,1,78
600,569,551,596,599,599,600,100,100,100,100,100,100,100,11,1,4,3,4,34,89,5712,3858,6194,26752,52062,253929,506913,0.948333333333333,0.918333333333333,0.993333333333333,0.998333333333333,0.998333333333333,1,79
1200,1120,1166,1175,1195,1200,1197,200,200,200,200,200,200,200,38,1,1,6,20,101,229,6312,8340,13855,57799,112942,552819,1102710,0.933333333333333,0.971666666666667,0.979166666666667,0.995833333333333,1,0.9975,80
497,340,493,448,467,467,494,10,6,10,10,10,10,10,4,1,0,3,3,14,27,12362,804,1429,5690,11340,55292,110363,0.6841046277666,0.991951710261569,0.901408450704225,0.939637826961771,0.939637826961771,0.993963782696177,81
713,515,500,579,538,588,591,20,20,20,20,20,20,20,8,1,2,3,6,26,50,12578,1347,2169,9196,17791,87677,175042,0.722300140252454,0.701262272089762,0.812061711079944,0.754558204768584,0.82468443197756,0.828892005610098,82
963,621,744,847,832,857,854,50,26,50,50,50,50,50,18,1,2,14,10,49,93,12828,2173,3875,16422,32217,157926,315200,0.644859813084112,0.772585669781931,0.879543094496366,0.863966770508827,0.889927310488058,0.88681204569055,83
1155,1026,904,1026,1013,1043,1047,100,100,70,100,100,100,100,33,1,3,8,20,65,179,13020,3519,6017,25374,50023,244438,487878,0.888311688311688,0.782683982683983,0.888311688311688,0.877056277056277,0.903030303030303,0.906493506493507,84
1234,1135,1128,1147,1177,1198,1197,200,200,200,200,200,200,200,68,3,6,13,24,139,334,13099,4991,8725,36977,72844,356076,710562,0.919773095623987,0.914100486223663,0.929497568881686,0.953808752025932,0.970826580226904,0.97001620745543,85
242,136,219,225,234,239,239,10,10,10,10,10,10,10,7,1,2,2,5,27,33,21748,296,673,2604,5078,24987,49986,0.56198347107438,0.90495867768595,0.929752066115703,0.966942148760331,0.987603305785124,0.987603305785124,86
451,263,343,437,427,439,443,20,20,20,20,20,20,20,13,3,4,6,9,31,56,21957,536,1174,5337,10289,50617,101003,0.583148558758315,0.760532150776053,0.968957871396896,0.946784922394679,0.973392461197339,0.982261640798226,87
924,516,739,854,832,858,862,50,50,50,50,50,50,50,28,2,3,13,15,52,99,22430,1699,2864,12074,23408,114680,228966,0.558441558441558,0.79978354978355,0.924242424242424,0.900432900432901,0.928571428571429,0.932900432900433,88
1406,1037,1109,1248,1235,1264,1266,100,100,100,100,90,100,100,59,3,3,11,18,83,205,22912,3180,5302,22595,44100,216163,431352,0.737553342816501,0.788762446657184,0.887624466571835,0.878378378378378,0.89900426742532,0.900426742532006,89
1841,1383,1666,1655,1655,1666,1666,200,109,200,200,200,200,200,112,4,5,20,38,169,423,23347,5054,8672,35773,69950,342773,683934,0.75122216186855,0.904942965779468,0.898967952199891,0.898967952199891,0.904942965779468,0.904942965779468,90
146,128,98,126,131,135,135,10,10,10,10,10,10,10,89,32,19,34,61,277,577,156331,245,390,1662,3304,16202,32284,0.876712328767123,0.671232876712329,0.863013698630137,0.897260273972603,0.924657534246575,0.924657534246575,91
226,128,161,188,202,202,202,20,20,13,18,20,20,20,111,24,17,54,80,462,883,156411,361,671,2857,5572,27162,54250,0.566371681415929,0.712389380530973,0.831858407079646,0.893805309734513,0.893805309734513,0.893805309734513,92
388,256,329,327,346,356,355,50,50,50,50,50,50,50,329,16,26,61,129,655,1374,156573,738,1363,5676,11030,54462,108523,0.65979381443299,0.847938144329897,0.842783505154639,0.891752577319588,0.917525773195876,0.914948453608247,93
562,474,493,479,487,504,507,100,88,100,100,100,100,100,561,22,24,107,155,816,1726,156747,1376,2363,9486,18559,91172,181937,0.843416370106762,0.877224199288256,0.852313167259787,0.866548042704626,0.896797153024911,0.902135231316726,94
793,513,615,700,685,714,714,200,200,149,200,200,200,200,1271,21,35,98,187,1031,2166,156978,2162,3736,15873,30810,151768,302641,0.646910466582598,0.775535939470366,0.882723833543506,0.863808322824716,0.900378310214376,0.900378310214376,95
